run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,-123.6747888270205,2.5749868456550913e+44,0.5267855176452522,,1.3569698994699189,0.8911079771789792,-115.90131365544943,0.6157165790886202,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib uses legacy prior ordinates and should be checked before publication.,-117.14186844934599,2.4233486024569983,8.956268980131508,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_inv_markup_baseline_20260623_002005,hsa_steady,inv_markup,baseline,unrestricted,log100_centered10,-288.66061054291083,5.732486640712282e-28,1.00407100352763,,,,-121.95087529766957,0.645654691600104,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-240.4871311081433,-26.9192719602079,21.254207474559614,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_inv_markup_baseline_restricted_kappa_20260622_234857,hsa_steady,inv_markup,baseline,restricted_kappa,log100_centered10,-288.66061054291083,5.732486640712282e-28,1.00407100352763,,,,-121.95087529766957,0.645654691600104,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-240.4871311081433,-26.9192719602079,21.254207474559614,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_labor_share_gap_hp_baseline_20260623_110157,hsa_steady,labor_share_gap_hp,baseline,unrestricted,log100_centered10,-356.8291063846556,1.422792173612155e-57,0.7424301916882968,,,,-121.16574626918936,0.6413925491668497,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-308.34113730936826,-27.932014595382242,20.55595447990501,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_labor_share_gap_hp_baseline_restricted_kappa_20260623_112158,hsa_steady,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,-356.8291063846556,1.422792173612155e-57,0.7424301916882968,,,,-121.16574626918936,0.6413925491668497,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-308.34113730936826,-27.932014595382242,20.55595447990501,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_baseline_20260623_004947,hsa_steady,output_gap_bn,baseline,unrestricted,log100_centered10,-306.71200934347127,8.293162239395465e-36,0.4690035599231653,,,,-118.89988246364877,0.6299721037608151,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-256.6675514160514,-27.439662233562327,22.60479569385751,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_baseline_restricted_kappa_20260622_235859,hsa_steady,output_gap_bn,baseline,restricted_kappa,log100_centered10,-306.71200934347127,8.293162239395465e-36,0.4690035599231653,,,,-118.89988246364877,0.6299721037608151,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-256.6675514160514,-27.439662233562327,22.60479569385751,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,-302.10313160072695,8.323966678403134e-34,1.0043339928659905,,,,-113.63508150247196,0.6035450928709374,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-251.02354189920337,-27.894972232321518,23.18461746920209,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_hp_baseline_restricted_kappa_20260623_111202,hsa_steady,output_gap_hp,baseline,restricted_kappa,log100_centered10,-302.10313160072695,8.323966678403134e-34,1.0043339928659905,,,,-113.63508150247196,0.6035450928709374,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-251.02354189920337,-27.894972232321518,23.18461746920209,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_hp_baseline_restricted_kappa_t_20260623_141034,hsa_steady,output_gap_hp,baseline,restricted_kappa_t,log100_centered10,-301.57498906516787,1.4115612312127609e-33,0.7338842696536138,,,,-113.7551325852786,0.6024671412528528,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-249.8069084854269,-28.752100017919236,23.015980561821713,40,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,-308.1333201054705,2.0019477600928526e-36,0.15890511899434326,,,,-115.66120937229749,0.6133961104560934,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-256.14279608378166,-28.362079478326322,23.62844454336251,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_unemployment_gap_baseline_restricted_kappa_20260623_000857,hsa_steady,unemployment_gap,baseline,restricted_kappa,log100_centered10,-308.1333201054705,2.0019477600928526e-36,0.15890511899434326,,,,-115.66120937229749,0.6133961104560934,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-256.14279608378166,-28.362079478326322,23.62844454336251,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
