run,model,data_spec,prior_spec,constraint_spec,coefficient,time_index,posterior_mean,ci_2.5,ci_97.5
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,16,0.04982683099538747,-0.385993866560977,0.4698535798041789
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,21,0.04920146114708451,-0.3830900797354274,0.47077976646909536
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,27,0.049542761653931004,-0.3836900539991144,0.4698137362063197
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,32,0.04983552617380676,-0.3856668776123155,0.47581338593574113
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,37,0.05035956375136374,-0.3840028387563443,0.4761485201359995
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,43,0.049614325087810496,-0.3847242528113938,0.4715809911988588
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,48,0.04930741548774335,-0.3839398222542168,0.4763740449756545
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,53,0.049812887398798085,-0.385524441249913,0.47598792148113006
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,59,0.050923304846675885,-0.3870040879191565,0.4721825028872207
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,64,0.053732092329659836,-0.38195788762080274,0.46907102260945466
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,70,0.0563967405232788,-0.37864226782248794,0.4711818245094488
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,75,0.05836972280387069,-0.38496857424353625,0.47506708763059124
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,80,0.06036454496133176,-0.38855797447517937,0.4765710753949716
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,86,0.06046261741747957,-0.3901514013055042,0.47671470403658306
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,91,0.06172770200645832,-0.39627791356282754,0.47550548130634634
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,96,0.06278665038450797,-0.4062172473614673,0.47745080918916827
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,102,0.06613540013637226,-0.405837946669437,0.4823672618919038
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,107,0.0693494848715267,-0.4063544522772465,0.49173741325123715
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,112,0.06924500066764971,-0.4058801558845228,0.48385626427838174
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,118,0.06942568934342118,-0.41571854951750237,0.4835984969479104
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,theta_t,123,0.07061024594694999,-0.415504685771011,0.49302678300232505
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,0,0.00013574903621089873,-0.24297879965857372,0.23796514831790797
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,5,0.0013335043238361774,-0.23692463333015387,0.23496724336618488
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,11,0.0009104186212425599,-0.23513986830678082,0.2359377214237673
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,16,-8.298681774330595e-05,-0.2393197200960967,0.2396875410617474
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,21,0.0010888398279275127,-0.23897412289504405,0.23767061685204563
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,27,0.002363440243386477,-0.2307781079088841,0.23328584568365388
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,32,0.003018847273590352,-0.23078912180884414,0.230607023363145
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,37,0.002991476303415518,-0.22870160052247343,0.22888508541519845
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,43,0.002027358361850699,-0.23317843120640103,0.23091484667687948
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,48,0.00187696960458163,-0.2364216587848455,0.235270769128313
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,53,0.0016602601030686651,-0.2337558116548926,0.23579528509272588
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,59,0.0020728443770086542,-0.22998772064440814,0.23559412060794951
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,64,0.003552292749119694,-0.22579728395512766,0.23008054893195262
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,70,0.006522477665392079,-0.2191415267139954,0.22585098064236045
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,75,0.009048711101697146,-0.21903528162732205,0.2314764552590035
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,80,0.01111347878988627,-0.2211054634771148,0.23557278368683235
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,86,0.01188582522471814,-0.22519754934414896,0.24018942690143918
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,91,0.01218625370679745,-0.22576770980861588,0.2395809054923993
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,96,0.012352999071118148,-0.2257916969145737,0.24237831740682855
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,102,0.013352976134884753,-0.2327246752316096,0.24877349188976455
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,107,0.014068771550685392,-0.23528100243131786,0.2521529270843487
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,112,0.014520117681121124,-0.23998539026484436,0.25508130904765813
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,118,0.01574368423692392,-0.24058076725345148,0.2639010086669831
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,kappa_t,123,0.01594728082311842,-0.2416301586564019,0.2667977373950293
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,0,-0.176932316290157,-0.3849987874025521,0.01779854224515012
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,5,-0.17516775889450198,-0.38474577055228965,0.015644557061585664
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,11,-0.1746760381103491,-0.3842575146879065,0.01941913145854468
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,16,-0.1760692822659199,-0.3908150600268977,0.02158188868627323
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,21,-0.17458877734923958,-0.3869957861809536,0.021364478290362244
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,27,-0.17226344343847097,-0.3844797893544906,0.021433820869067442
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,32,-0.1712118004744091,-0.3835153052068723,0.020817263745598877
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,37,-0.17113282667717214,-0.38591409247368197,0.02714069511866868
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,43,-0.1721642491216967,-0.3874197681017893,0.023489759166092056
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,48,-0.172532259913834,-0.3903707567016635,0.026752533671164654
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,53,-0.1723044876413099,-0.3908662134506712,0.02710080387146128
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,59,-0.1711894619027703,-0.38909043720102204,0.029434971419180066
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,64,-0.16879945120498,-0.3824229705636477,0.035864391456230084
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,70,-0.16502125457388728,-0.3849472035043763,0.03828130558792996
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,75,-0.16201483710542086,-0.3914265567453243,0.05220302522902209
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,80,-0.15937270964304331,-0.39738332072573873,0.06498697679141197
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,86,-0.15890561891498847,-0.403194564085929,0.06903809228155604
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,91,-0.15861579431616268,-0.4046201808311209,0.07092205811505646
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,96,-0.1580699822150804,-0.4101667234348324,0.07265494774383602
hsa_full_inv_markup_end_2019_baseline_20260623_023257,hsa_full,inv_markup_end_2019,baseline,unrestricted,theta_t,102,-0.15682126523025983,-0.41547128265056305,0.08029077794146358
