run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,kappa,inflation points per x point,-0.019790700395393608,0.09908062459638914,-0.21644665710434052,0.17847176627594052
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,lambda_ez,shock loading,0.013790549879402949,0.1547265367288599,-0.2854483454518148,0.30746051515269845
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,phi_1,AR(1) coefficient,0.7115175848011106,0.06621619085704857,0.5838734015535273,0.8402889630391648
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,rho,reported physical units,0.011363365110445882,0.12130235709800588,-0.22362997229887813,0.24317317493155488
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,sigma_e,reported physical units,0.5551033926308337,0.039776439997926766,0.4829281358003036,0.639596921236836
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,sigma_zeta,reported physical units,0.4398031725055958,0.03135296184079349,0.3822332267607427,0.5072454230085148
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,alpha,share,0.6218897173886379,0.0611292171521956,0.4971055104636659,0.741619712120775
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,kappa,inflation points per x point,0.012395634846036088,0.1268671535508471,-0.23157103155032305,0.2676358774185647
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,lambda_ez,shock loading,-0.005723204655083417,0.16932023906651902,-0.33974046194680285,0.3245934050108596
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,phi_1,AR(1) coefficient,0.6189197997242302,0.07678370438112099,0.4684949903998121,0.7724659448603609
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,rho,reported physical units,-0.004053094664006629,0.130844467898689,-0.2649363284332161,0.25001968222057125
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,sigma_e,reported physical units,0.6609383954083998,0.04653297768644045,0.5762439035651478,0.7610909806682209
ces_inv_markup_start_1988_baseline_20260623_014851,ces,inv_markup_start_1988,baseline,unrestricted,sigma_zeta,reported physical units,0.5176967273540233,0.03713974053351345,0.4505248508090104,0.5958586005109181
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,Nbar,reported physical units,0.1966640365175362,1.839034204461123,-2.9756146648193913,3.1872565379191973
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,Nhat,reported physical units,-0.1966959658037199,0.9290649601620302,-2.8261462558912576,1.2531965046590472
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,Sigma,reported physical units,0.04398977864537567,0.10801629811180827,-0.03364187298156698,0.3947045830922011
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,alpha,share,0.6149887157508009,0.05510173441825285,0.5038438268234352,0.7198519334198948
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,corr_e_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,corr_e_u,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,corr_e_zeta,reported physical units,-0.005672036135342888,0.12477601955812065,-0.24845404632072934,0.23281310934674132
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,corr_u_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,kappa,inflation points per x point,0.011536568494128279,0.11760578580171199,-0.21740008220952822,0.2396860752338457
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,n,Nbar drift in ten-log-point units,-0.0336480995279199,0.026566442368374046,-0.0827424494703707,0.01997185290896702
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,phi_1,AR(1) coefficient,0.6630087466066351,0.06653397405753471,0.5317141262109726,0.7979720752672386
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,rho_1,AR(2) coefficient,0.9018099968704851,0.12592354642045764,0.6223366191111397,1.1179212987620473
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,rho_2,AR(2) coefficient,0.012984572261874293,0.10406369075130457,-0.19007600386186707,0.22122845268558095
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,sigma_N,reported physical units,0.25028744841153766,0.02000192889413105,0.2138431556567892,0.2912876487232676
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,sigma_e,reported physical units,0.6204236564573145,0.04264044220457655,0.5399356991354214,0.708902353104916
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,sigma_eps,reported physical units,0.20488263594899203,0.02263779571029427,0.16462458471465966,0.2531029763716895
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,sigma_u,reported physical units,0.19203806321687483,0.02075081169369714,0.15649599792785,0.23736019674092956
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,sigma_zeta,reported physical units,0.48957092871606106,0.030722631647320673,0.4323177542058156,0.552384985968248
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,theta,inflation effect per +10 log-point Nhat deviation,-0.022464662695022664,0.2660384857463863,-0.35889275588246966,0.5774586748401236
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,Nbar,reported physical units,0.18562061373825547,1.8425590008443407,-3.0000453082952934,3.235646843169205
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,Nhat,reported physical units,-0.18542146278323343,0.9344300735198566,-2.824035122728626,1.2933139382344994
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,Sigma,reported physical units,0.04174232644823124,0.10916007177055707,-0.04632325211521508,0.39699789429653
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,alpha,share,0.6120667771949155,0.057265249289432454,0.49761536856298977,0.7221001138126084
