run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,rho_1,AR(2) coefficient,0.967043301332465,0.1291853825720874,0.7007971968410199,1.2083424403516478
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,rho_2,AR(2) coefficient,-0.05063479366275587,0.11499903803177833,-0.2761607014545082,0.17700262713730425
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,sigma_e,reported physical units,0.6098274586068224,0.04132225119545201,0.5348111081744015,0.6968540731125318
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,sigma_eps,reported physical units,0.2805075000931074,0.023443174351647274,0.23909386577847566,0.32865672694284653
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,sigma_u,reported physical units,0.2739694213875883,0.02279906272488645,0.2331811251260382,0.3216009624966556
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,sigma_zeta,reported physical units,0.5856601322184535,0.037694330430481295,0.5192725600239095,0.6623195143572446
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.21958953018105398,0.1322861856164681,0.015012388721930413,0.5177024691334041
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,theta_t,reported physical units,0.219883728246607,0.1349653536770379,0.006833451207865088,0.5238223830411579
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,Nbar,reported physical units,-0.04646149086686408,1.343494034746569,-2.5485525739729784,2.109988631822038
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,Nhat,reported physical units,0.046361903321903424,0.9037597500290762,-1.8263182409183951,1.884404669874321
hsa_full_output_gap_hp_baseline_restricted_kappa_20260623_111902,hsa_full,output_gap_hp,baseline,restricted_kappa,alpha,share,0.6239764235964957,0.05919133814953424,0.5067913324755335,0.7388349845445145
