run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
hsa_full_unemployment_gap_core_exclude_covid_baseline_20260709_173603,hsa_full,unemployment_gap_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.06338711337778016,0.020212167205530707,0.10661513449211349,0.024900903432688005,0.009522737538699614,0.04028830427104177,0.06552893276053912,0.1416590711147583,-0.010292674573679954
hsa_full_unemployment_gap_core_full_baseline_20260709_173018,hsa_full,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.06157441594061933,0.021673089234386236,0.1014212538555605,0.025296564891840276,0.007792447053061177,0.043565068289600085,0.06432775679211324,0.13051875462564935,-0.0016352982813641137
hsa_full_unemployment_gap_core_post_2008_baseline_20260709_173538,hsa_full,unemployment_gap_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.0067643119215687565,-0.07110527381612511,0.08481814596234229,0.0011939152742449861,-0.03778759783169958,0.04054837979208397,0.006780715331386098,0.007090724478210495,0.0064691962387485825
hsa_full_unemployment_gap_core_pre_2008_baseline_20260709_173312,hsa_full,unemployment_gap_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.0690706933605319,-0.009719991927894479,0.14823288681273047,0.024987833143520835,-0.004445805152456032,0.053961482398717724,0.077088381385201,0.14727824932876107,0.005495977077725938
hsa_full_unemployment_gap_core_start_1988_baseline_20260709_173857,hsa_full,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.022502582179181548,-0.02985350724342534,0.07452729133442249,0.007242654567239697,-0.014239413662651145,0.028112379416492382,0.022214922713724057,0.0422884541289109,0.002127419364012625
hsa_full_unemployment_gap_end_2019_baseline_20260623_040821,hsa_full,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.09705115693975921,0.007813832536801511,0.1905000225954126,0.007806203284210052,-0.03243032240163189,0.047606627188531,0.09727689691359527,0.09806837944970198,0.07641881436495933
hsa_full_unemployment_gap_exclude_covid_baseline_20260623_040307,hsa_full,unemployment_gap_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.0919338654264476,-0.006594436344064755,0.18909849803904794,0.011456689707650245,-0.0342498416616907,0.051869921544907646,0.09558988206128201,0.1267923988798588,0.05511466042251543
hsa_full_unemployment_gap_full_baseline_20260623_035723,hsa_full,unemployment_gap_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.07655548852776327,-0.011378184522843709,0.17381192196604825,0.018312380744689615,-0.02627132635618266,0.052034101229142704,0.08508651961803773,0.11803965029771675,0.02822303393251741
hsa_full_unemployment_gap_post_2008_baseline_20260623_040243,hsa_full,unemployment_gap_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,-0.021758949911020772,-0.14729917123063616,0.10867479036929222,0.0011393136605696182,-0.03874117950418151,0.0412471803946329,-0.021340157796958775,-0.016964353046575,-0.02149019741299507
hsa_full_unemployment_gap_pre_2008_baseline_20260623_040017,hsa_full,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.1777725189490424,0.052310243520047726,0.31148606925577493,0.0014710354174716877,-0.03453737635823498,0.036715403739723554,0.17788973580894518,0.17658765838697735,0.17473788508951052
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.014531137175871366,-0.08138991526338081,0.11260118389174824,0.0053201763493027675,-0.029955463772330954,0.037200750491821775,0.014897430562975425,0.02447500284839537,-0.000307570954742668
hsa_steady_unemployment_gap_baseline_20260702_113759,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.06870626780730806,0.0015597148092678312,0.1348262058862259,0.03016752270681834,0.009222466225555191,0.05265105209581608,0.07867231235642463,0.16599591618159892,-0.010121204177742324
hsa_steady_unemployment_gap_baseline_20260702_145850,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.06870626780730806,0.0015597148092678312,0.1348262058862259,0.03016752270681834,0.009222466225555191,0.05265105209581608,0.07867231235642463,0.16599591618159892,-0.010121204177742324
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_114922,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.0777519693762541,0.010953001440201589,0.1423985205522177,0.029561512421724733,0.004903943546620978,0.05270652592407302,0.08603411576965286,0.14384638300440541,-0.0014952505453277609
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,,,,0.07743209533657283,0.011694985289112619,0.14537852920555971,0.02937236649581176,0.004888877415329677,0.05308924353462345,0.0869212933860019,0.13931611820987744,0.0003590047584269491
hsa_steady_unemployment_gap_baseline_restricted_kappa_20260623_000857,hsa_steady,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,,,,0.09129553734684104,0.012572957661411982,0.17570102336232424,0.028689575637517128,0.0006418782486355377,0.05560898589901062,0.09245494106689,0.12404640361219756,0.006473679110186149
hsa_steady_unemployment_gap_baseline_restricted_kappa_t_20260702_071705,hsa_steady,unemployment_gap,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,,,,0.09461888154463262,0.03956209846373513,0.15978079443612642,0.023283108855776124,0.004800484130725236,0.0428711364652873,0.09823174210643427,0.1672133971724425,0.0281112451471469
hsa_steady_unemployment_gap_core_baseline_20260709_155606,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.05143212280079951,0.01514456491673509,0.08791275801742449,0.022661862455434237,0.009864522634375282,0.03929876932682573,0.05787019417486496,0.12021224285709443,-0.0052332521611903535
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,,,,0.055359580948807705,0.0213607700436868,0.09158150722546024,0.022354043879297524,0.007780649675346993,0.03834370669572487,0.0629379886950584,0.11022166871357722,-0.002040304596180951
hsa_steady_unemployment_gap_core_baseline_restricted_kappa_20260709_151602,hsa_steady,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,,,,0.0697641110509581,0.03467178053031579,0.15422873310684754,0.016844719190617766,0.0032499477164655978,0.03117353767034954,0.06587094743577368,0.11790838955388869,0.013171540606994098
hsa_steady_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153557,hsa_steady,unemployment_gap_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,,,,0.0697641110509581,0.03467178053031579,0.15422873310684754,0.016844719190617766,0.0032499477164655978,0.03117353767034954,0.06587094743577368,0.11790838955388869,0.013171540606994098
