prior,model,data_spec,n_transform,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
baseline,hsa_full,output_gap_bn_core,log100_centered10,alpha,0.8011241205051111,0.8018190772310163,0.7019393357461238,0.9024464004409624,1.0,0.0,
baseline,hsa_full,output_gap_bn_core,log100_centered10,kappa_0,0.04699559335925505,0.04656677163805738,-6.318593986715143e-06,0.09612810876383875,0.9746875,0.0253125,
baseline,hsa_full,output_gap_bn_core,log100_centered10,delta,0.011421785841498555,0.011427452499721984,-0.007484154485174336,0.029593933449258508,0.888125,0.111875,
baseline,hsa_full,output_gap_bn_core,log100_centered10,theta_0,0.019175634657971605,0.01859183282354851,-0.04895117495860123,0.09014293058141978,0.7046875,0.2953125,
baseline,hsa_full,output_gap_bn_core,log100_centered10,gamma,-0.03860703520090282,-0.038894498243602194,-0.06879775696022353,-0.007393624557076739,0.00875,0.99125,
baseline,hsa_full,output_gap_bn_core,log100_centered10,rho_1,1.7930034956177296,1.7955916034593873,1.684470517114276,1.8872080729776461,1.0,0.0,
baseline,hsa_full,output_gap_bn_core,log100_centered10,rho_2,-0.8087475694926672,-0.8108430513844462,-0.9001815117077466,-0.7046075275330098,0.0,1.0,
baseline,hsa_full,output_gap_bn_core,log100_centered10,sigma_e,0.3176638127737936,0.31686953950377617,0.27912355509758785,0.3631792878570148,1.0,0.0,
baseline,hsa_full,output_gap_bn_core,log100_centered10,sigma_zeta,0.5781365248933524,0.5761877138999946,0.5112493283212346,0.653085035160118,1.0,0.0,
baseline,hsa_full,output_gap_bn_core,log100_centered10,sigma_u,0.04628012077012435,0.04580941316968078,0.03773748382375529,0.05695310883778687,1.0,0.0,
baseline,hsa_full,output_gap_bn_core,log100_centered10,sigma_eps,0.03111859353842851,0.030802030319205247,0.02429296262021997,0.03966574025637821,1.0,0.0,
baseline,hsa_full,output_gap_bn_core,log100_centered10,sigma_N,0.0288097599744364,0.027820739789780606,0.021374032466623363,0.04192341420114346,1.0,0.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,alpha,0.828167509851663,0.8284131249295446,0.7347369431286165,0.9229656969742434,1.0,0.0,
weak,hsa_full,output_gap_bn_core,log100_centered10,kappa_0,0.059408870560569954,0.05913874937673784,0.014752256349251387,0.10529046614900466,0.9940625,0.0059375,
