run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
hsa_dynamic_output_gap_bn_core_baseline_annual_q4_20260709_150934,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,annual_q4,0.033968330977293085,-0.01138375188715089,0.08190984321741439,,,,,,,,,
hsa_dynamic_output_gap_bn_core_baseline_restricted_kappa_20260709_152926,hsa_dynamic,output_gap_bn_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.03852317810361273,0.0033719474948776234,0.08309464669055919,,,,,,,,,
hsa_dynamic_output_gap_bn_core_baseline_restricted_kappa_t_20260709_154930,hsa_dynamic,output_gap_bn_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,0.03550423729662538,-0.009908209433603744,0.0812635048093261,,,,,,,,,
hsa_dynamic_output_gap_bn_core_end_2019_baseline_20260709_181413,hsa_dynamic,output_gap_bn_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03467562302107685,-0.012878596140634524,0.08210087634667507,,,,,,,,,
hsa_dynamic_output_gap_bn_core_exclude_covid_baseline_20260709_180741,hsa_dynamic,output_gap_bn_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03532244431109135,-0.011806789036049037,0.08077544031091473,,,,,,,,,
hsa_dynamic_output_gap_bn_core_full_baseline_20260709_180037,hsa_dynamic,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03550423729662538,-0.009908209433603744,0.0812635048093261,,,,,,,,,
hsa_dynamic_output_gap_bn_core_post_2008_baseline_20260709_180707,hsa_dynamic,output_gap_bn_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.010619240477273686,-0.11225599111963552,0.13556722080435707,,,,,,,,,
hsa_dynamic_output_gap_bn_core_pre_2008_baseline_20260709_180409,hsa_dynamic,output_gap_bn_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.04753386847923278,-0.016168808165016656,0.11184167298326364,,,,,,,,,
hsa_dynamic_output_gap_bn_core_start_1988_baseline_20260709_181114,hsa_dynamic,output_gap_bn_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03155062017923476,-0.016624614836591587,0.08030100323788696,,,,,,,,,
hsa_dynamic_output_gap_bn_end_2019_baseline_20260623_030651,hsa_dynamic,output_gap_bn_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.09058511666434431,-0.0001590828681998312,0.18564454832438718,,,,,,,,,
