run,model,data_spec,prior_spec,constraint_spec,n_transform,parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,rho,0.029475344597215503,0.09588286047939133,-0.13572042886244876,0.21894565993541115,0.01516041138435104,40.0,40.0,1.0071436550159671,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_eta,0.6472658348249342,0.046875758579920615,0.565548890553605,0.7338294122011241,0.01035137727202033,20.506915549982192,24.207628784899725,1.084769472717697,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_e,0.6505859784567933,0.04823209666432356,0.5687249435717009,0.7342588853504346,0.00994310696940682,23.530332234930956,24.207628784899725,1.093835894280552,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_zeta,0.6009861454107533,0.04526686214457649,0.5262914155152248,0.678346265636909,0.007157319345285795,40.0,40.0,0.9763991302897694,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_u,0.3229999284583907,0.02154684739754333,0.2791112961792586,0.3563231524602545,0.003672380546849319,34.42485465326173,40.0,0.9746930901310279,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_eps,0.33263081752572643,0.02972230683546313,0.28185851624347874,0.4031942401160181,0.005742305540062943,26.791216416817807,40.0,0.985103218500752,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_N,0.2920897460256212,0.02780174704856891,0.25077308512839885,0.3424030531485825,0.00585129231743453,22.57566672788814,21.729615248852806,1.0943240616331569,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,alpha,0.6591675091223376,0.055521950303743475,0.5463333185964978,0.7480895475994239,0.008778791154725346,40.0,40.0,1.0689753484560405,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_0,0.09418177567298917,0.03188755561329608,0.017396517117394532,0.13186279044386512,0.005041865237665149,40.0,40.0,1.0410258251876434,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230549,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,delta,0.031584349311749894,0.012473510352310231,0.009442560630618258,0.053581976644472035,0.0019722351565494827,40.0,40.0,0.9811050661784839,bulk ESS < 400; tail ESS < 400
